

Session From  To        dx(m)       dy(m)        dz(m)      dh(m)     rms    Re_Var   ratio
 104-2  KV83  KV92     -533.182     -100.646     -240.523   -13.304   0.012  14.500    3.700
 101-4  KV84  KV85      -70.196      -40.313       74.903     3.643   0.012  13.681    4.600
 101-4  KV86  V122      510.852      326.454     -464.594    26.772   0.016  20.043   11.800
 101-4  KV86  V123      588.598      304.168     -345.274    18.641   0.015  19.695    4.100
 101-4  KV87  KV86      -27.621       23.334     -135.292    -9.301   0.010   9.111    7.000
 101-4  KV87  KV89      328.441       65.046      132.799     6.562   0.012  12.208    6.500
 101-4  KV87  V123      560.988      327.493     -480.579     9.324   0.011   8.951    4.400
 101-1  KV88  KV64      284.015      -36.971      436.089    11.227   0.013  15.402    3.200
 101-1  KV88  KV81      939.295      305.924      -81.517    -1.839   0.008   5.021   15.600
 101-4  KV89  KV84     -211.676     -119.041      229.113    14.212   0.010   8.500   10.200
 101-1  KV89  KV88      144.467       37.619       18.685    -0.103   0.006   3.513   24.500
 101-1  KV89  KV90      909.035      318.361     -169.173    -6.937   0.010   9.590    8.200
 101-5  KV89  KV91      794.260      315.824     -266.543    -5.157   0.017  21.244    6.100
 101-5  KV89  KV92      976.728      370.980     -268.398    -5.463   0.019  26.126    4.300
 101-5  KV89  V123      232.541      262.447     -613.367     2.767   0.017  17.476    8.700
 101-1  KV90  KV88     -764.567     -280.743      187.857     6.832   0.009   7.219   11.300
 104-4  KV90  KV92       67.673       52.681      -99.194     1.544   0.006   3.436   19.100
 101-5  KV91  KV93      104.249       94.748     -182.935     6.321   0.009   6.194   16.600
 104-5  KV92  KV79      719.139      216.388      -31.673    -8.972   0.009   7.646    8.800
 101-5  KV92  KV91     -182.467      -55.157        1.855     0.306   0.008   4.706   21.200
 101-5  KV92  KV93      -78.218       39.593     -181.079     6.629   0.008   5.410   17.800
 104-5  KV92  KV99      -96.372      180.705     -606.129    20.724   0.007   4.888   12.500
 101-5  KV93  KV96     -104.530       46.448     -225.307     7.663   0.009   7.525   12.300
 101-6  KV93  KV99      -18.152      141.108     -425.055    14.090   0.007   5.147    3.100
 101-5  KV96  D188     -413.550      -14.361     -298.686    16.454   0.014  15.191    5.900
 101-5  KV96  KV89     -793.978     -457.022      674.784    -8.829   0.020  29.339    4.100
 101-5  KV96  KV91        0.281     -141.197      408.243   -13.984   0.011   9.921   10.100
 101-5  KV96  KV97      -68.919       29.641     -148.312     4.223   0.009   6.839   12.900
 101-5  KV96  V123     -561.441     -194.570       61.421    -6.056   0.016  20.943    5.000
 101-5  KV97  D188     -344.632      -43.999     -150.373    12.235   0.010   9.000   10.000
 101-6  KV97  KV99      155.297       65.032      -51.409     2.224   0.007   3.203   18.000
 101-6  KV97  V121     -294.662      -30.359     -154.053     9.903   0.008   5.519   10.300
 101-6  KV98  KV99      456.479       53.268      231.006   -11.779   0.011   8.947    5.800
 102-1  KV98  V101     -196.980       14.123     -243.526    -1.593   0.006   3.418   19.000
 102-2  KV98  V103     -557.825      239.487    -1428.424   -30.548   0.013  14.653    5.800
 102-2  KV98  V108      525.613      136.028        7.544   -18.227   0.014  17.024    4.100
 101-6  KV99  V109      217.437      120.130     -204.473    -7.732   0.015  16.112    3.000
 101-6  KV99  V121     -449.959      -95.390     -102.644     7.680   0.010   7.905    6.700
 102-1  V100  V101      147.553      -15.515      198.619     1.241   0.007   4.015   19.200
 102-1  V100  V106     -310.019      157.277     -933.733   -34.362   0.008   5.531   14.000
 102-2  V101  V103     -360.838      225.363    -1184.893   -28.957   0.014  17.810    4.400
 102-1  V101  V106     -457.572      172.793    -1132.352   -35.603   0.008   6.245   22.800
 102-1  V102  V104     -271.847      -15.739     -247.865    -9.444   0.007   4.119   10.300
 102-1  V102  V107      119.034     -120.008      553.756    13.712   0.009   6.549    7.200
 102-2  V103  V105     -789.779      -57.500     -700.204   -32.623   0.012  12.307    6.400
 102-2  V103  V106      -96.733      -52.566       52.551    -6.639   0.007   3.981   24.400
 102-1  V104  V105     -154.933       25.127     -288.099   -15.631   0.008   4.270   14.100
 102-1  V104  V107      390.880     -104.271      801.621    23.154   0.008   6.444   10.800
 102-1  V105  V102      426.782       -9.391      535.963    25.073   0.009   7.254    9.000
 102-2  V105  V106      693.045        4.934      752.755    25.983   0.012  12.656    5.700
 102-1  V105  V107      545.812     -129.394     1089.720    38.790   0.012  12.159    3.500
 102-1  V106  V102     -266.260      -14.348     -216.801    -0.936   0.008   5.939   11.300
 102-1  V106  V105     -693.039       -4.961     -752.764   -26.012   0.011   9.413    6.300
 102-1  V107  V100      457.246      -22.922      596.778    21.585   0.007   4.476   13.900
