


                            KET QUA TINH TOAN BINH SAI
                          xa A Doi
                            ==========================


                                                                      Bang 1


                 BANG TRI DO GIA SO TOA DO VA CAC CHI TIEU SAI SO

         HE TOA DO VUONG GOC KHONG GIAN        ELLIPSOID QUI CHIEU:WGS-84
=================================================================================
|Lan do| D. dau  D. cuoi |    DX    |    DY    |    DZ    |  RMS | RDOP | RATIO |
| 101-5|    KV96     KV91|     0.281|  -141.197|   408.243| 0.011| 9.921| 10.100|
| 101-5|    KV96     KV97|   -68.919|    29.641|  -148.312| 0.009| 6.839| 12.900|
| 101-5|    KV96     V123|  -561.441|  -194.570|    61.421| 0.016|20.9435.000|  5.000|
| 101-5|    KV97     D188|  -344.632|   -43.999|  -150.373| 0.010| 9.000| 10.000|
| 101-6|    KV97     KV99|   155.297|    65.032|   -51.409| 0.007| 3.203| 18.000|
| 101-6|    KV97     V121|  -294.662|   -30.359|  -154.053| 0.008| 5.519| 10.300|
| 101-6|    KV98     KV99|   456.479|    53.268|   231.006| 0.011| 8.947|  5.800|
| 102-1|    KV98     V101|  -196.980|    14.123|  -243.526| 0.006| 3.418| 19.000|
| 102-2|    KV98     V103|  -557.825|   239.487| -1428.424| 0.013|14.6535.800|  5.800|
| 102-2|    KV98     V108|   525.613|   136.028|     7.544| 0.014|17.0244.100|  4.100|
| 101-6|    KV99     V109|   217.437|   120.130|  -204.473| 0.015|16.1123.000|  3.000|
| 101-6|    KV99     V121|  -449.959|   -95.390|  -102.644| 0.010| 7.905|  6.700|
| 102-1|    V100     V101|   147.553|   -15.515|   198.619| 0.007| 4.015| 19.200|
| 102-1|    V100     V106|  -310.019|   157.277|  -933.733| 0.008| 5.531| 14.000|
| 102-2|    V101     V103|  -360.838|   225.363| -1184.893| 0.014|17.8104.400|  4.400|
| 102-1|    V101     V106|  -457.572|   172.793| -1132.352| 0.008| 6.245| 22.800|
| 102-1|    V102     V104|  -271.847|   -15.739|  -247.865| 0.007| 4.119| 10.300|
| 102-1|    V102     V107|   119.034|  -120.008|   553.756| 0.009| 6.549|  7.200|
| 102-2|    V103     V105|  -789.779|   -57.500|  -700.204| 0.012|12.3076.400|  6.400|
| 102-2|    V103     V106|   -96.733|   -52.566|    52.551| 0.007| 3.981| 24.400|
| 102-1|    V104     V105|  -154.933|    25.127|  -288.099| 0.008| 4.270| 14.100|
| 102-1|    V104     V107|   390.880|  -104.271|   801.621| 0.008| 6.444| 10.800|
| 102-1|    V105     V102|   426.782|    -9.391|   535.963| 0.009| 7.254|  9.000|
| 102-2|    V105     V106|   693.045|     4.934|   752.755| 0.012|12.6565.700|  5.700|
| 102-1|    V105     V107|   545.812|  -129.394|  1089.720| 0.012|12.1593.500|  3.500|
| 102-1|    V106     V102|  -266.260|   -14.348|  -216.801| 0.008| 5.939| 11.300|
| 102-1|    V106     V105|  -693.039|    -4.961|  -752.764| 0.011| 9.413|  6.300|
| 102-1|    V107     V100|   457.246|   -22.922|   596.778| 0.007| 4.476| 13.900|
| 102-1|    V107     V101|   604.799|   -38.437|   795.396| 0.008| 5.529| 11.900|
| 102-1|    V107     V106|   147.226|   134.355|  -336.956| 0.007| 4.090| 18.800|
| 101-6|    V108     KV99|   -69.132|   -82.751|   223.439| 0.014|11.6703.900|  3.900|
| 102-2|    V108     V103| -1083.439|   103.460| -1435.967| 0.015|20.5294.600|  4.600|
| 102-2|    V109     V103| -1231.727|    66.076| -1454.943| 0.020|26.0443.600|  3.600|
| 102-2|    V109     V108|  -148.289|   -37.388|   -18.978| 0.020|25.3573.000|  3.000|
| 101-6|    V121     KV98|    -6.523|    42.124|  -128.360| 0.005| 2.222| 21.500|
| 101-6|    V122     KV98|   269.066|   213.677|  -372.845| 0.010| 8.692|  5.800|
| 101-4|    V122     V123|    77.747|   -22.287|   119.317| 0.011| 9.361|  8.400|
=================================================================================
       - RMS lon nhat:(   KV96 -    KV89)      RMS=  0.020
       - RMS nho nhat:(   KV21 -    KV22)      RMS=  0.004

       - RDOP lon nhat:(   KV53 -    KV85)    RDOP= 33.654
       - RDOP nho nhat:(   KV21 -    KV22)    RDOP=  1.424

       - RATIO lon nhat:(   KV39 -    KV37)  RATIO= 90.400
       - RATIO nho nhat:(   KV53 -    KV89)  RATIO=  2.500




                                                                      Bang 2


                           BANG SAI SO KHEP HINH
 
        HE TOA DO VUONG GOC KHONG GIAN        ELLIPSOID QUI CHIEU:WGS-84

 ==================================================================================
 |    So hieu vong khep    | dX(m)| dY(m)| dz(m)| dh(m)| dxyz | [S](m) | dxyz/[S] |
 |-------------------------|------|------|------|------|------|--------|----------|
 |    D184    KV22    KV30 | 0.002|-0.005|-0.002|-0.005| 0.006|  2160.4|1:  376070|
 |    D184    KV26    KV43 |-0.025| 0.004|-0.019| 0.006| 0.032|  4148.4|1:  131053|
 |    D184    KV26    KV30 |-0.001|-0.002|-0.004|-0.003| 0.005|  4008.1|1:  874646|
 |    D184    KV32    KV33 | 0.003|-0.002|-0.001|-0.003| 0.004|  1934.9|1:  517122|
 |    D184    KV33    KV43 |-0.003| 0.003| 0.001| 0.004| 0.004|  1852.6|1:  425006|
 |    KV22    KV14    KV09 |-0.022| 0.006|-0.002| 0.011| 0.023|  7556.6|1:  330111|
 |    KV22    KV14    KV23 |-0.003| 0.001|-0.001| 0.001| 0.003|  3494.7|1: 1053679|
