


                            KET QUA TINH TOAN BINH SAI
                          xa A Doi
                            ==========================


                                                                      Bang 1


                 BANG TRI DO GIA SO TOA DO VA CAC CHI TIEU SAI SO

         HE TOA DO VUONG GOC KHONG GIAN        ELLIPSOID QUI CHIEU:WGS-84
=================================================================================
|Lan do| D. dau  D. cuoi |    DX    |    DY    |    DZ    |  RMS | RDOP | RATIO |
     |  78 |     KV89      KV88 | 277 18 33.81 |  9.29 |  2.34 | 277 18 36.15 |
     |  79 |     KV89      KV90 | 259 35 10.57 |  1.61 |  0.04 | 259 35 10.62 |
     |  80 |     KV81      KV90 | 121 56 14.39 |  1.28 | -0.58 | 121 56 13.81 |
     |  81 |     KV64      KV89 | 138 46 57.63 |  2.21 |  0.59 | 138 46 58.22 |
     |  82 |     D187      KV49 | 344 15 13.03 |  0.92 |  0.18 | 344 15 13.21 |
     |  83 |     D187      KV62 | 274 57 10.74 |  1.53 | -0.13 | 274 57 10.61 |
     |  84 |     KV52      KV61 | 205 00  0.37 |  0.34 |  0.44 | 205 00  0.81 |
     |  85 |     KV52      KV51 | 215 50 54.51 |  1.33 |  0.35 | 215 50 54.86 |
     |  86 |     KV51      KV49 | 225 55 56.68 |  0.48 |  0.06 | 225 55 56.74 |
     |  87 |     KV62      KV49 |  18 58 24.96 |  0.97 |  0.74 |  18 58 25.71 |
     |  88 |     KV62      KV65 | 261 06 40.89 |  0.85 | -0.38 | 261 06 40.51 |
     |  89 |     KV65      KV49 |  51 32 40.09 |  0.52 | -0.16 |  51 32 39.93 |
     |  90 |     KV64      KV61 |  72 20 51.05 |  6.91 |  7.26 |  72 20 58.31 |
     |  91 |     D187      KV61 | 176 51 46.28 |  3.65 | -2.87 | 176 51 43.40 |
     |  92 |     KV49      KV52 |  43 17 13.38 |  0.35 | -0.07 |  43 17 13.30 |
     |  93 |     KV61      KV62 | 300 39 11.13 |  1.28 | -0.36 | 300 39 10.77 |
     |  94 |     KV65      KV52 |  46 37 40.14 |  0.21 | -0.00 |  46 37 40.13 |
     |  95 |     D187      KV51 |  25 25 13.01 |  0.36 | -0.05 |  25 25 12.96 |
     |  96 |     D187      KV52 |  27 36 34.99 |  0.29 | -0.38 |  27 36 34.61 |
     |  97 |     KV62      KV64 | 219 37 53.98 |  8.99 |  1.78 | 219 37 55.76 |
     |  98 |     KV52      KV54 | 174 28 38.89 |  0.40 | -0.00 | 174 28 38.89 |
     |  99 |     KV52      KV55 | 142 30 58.20 |  0.24 | -0.04 | 142 30 58.16 |
     | 100 |     KV52      KV56 | 147 56 23.37 |  0.28 |  0.08 | 147 56 23.45 |
     | 101 |     KV61      KV53 |  56 54  8.25 |  1.32 |  0.89 |  56 54  9.13 |
     | 102 |     KV61      KV89 | 172 13 23.49 |  0.42 |  0.10 | 172 13 23.59 |
     | 103 |     KV57      KV55 | 343 49 53.69 |  2.24 | -0.49 | 343 49 53.20 |
     | 104 |     KV57      KV56 | 311 57  9.00 |   1.0 |  0.11 | 311 57  9.12 |
     | 105 |     KV55      KV56 | 291 16 40.69 |  1.50 |  0.05 | 291 16 40.74 |
     | 106 |     KV56      KV54 | 289 48  4.75 |  0.55 | -0.06 | 289 48  4.69 |
     | 107 |     KV54      KV57 | 117 39 51.55 |  0.36 | -0.02 | 117 39 51.53 |
     | 108 |     KV53      KV54 |  75 24 47.49 |  1.74 | -0.65 |  75 24 46.84 |
     | 109 |     KV53      KV57 | 110 46 28.98 |  0.48 |  0.13 | 110 46 29.11 |
     | 110 |     KV52      KV53 | 186 47 40.49 |  1.73 |  0.82 | 186 47 41.31 |
     | 111 |     KV53      KV89 | 197 08 47.95 |  0.30 |  0.07 | 197 08 48.02 |
     | 112 |     KV58      KV89 | 252 54 51.13 |  0.24 | -0.01 | 252 54 51.12 |
     | 113 |     KV58      KV84 | 265 05 32.76 |  0.33 |  0.17 | 265 05 32.93 |
     | 114 |     KV58      KV85 | 271 14 22.92 |  0.64 | -0.72 | 271 14 22.20 |
     | 115 |     KV58      KV86 | 227 09  7.69 |  0.29 | -0.10 | 227 09  7.59 |
     | 116 |     KV58      KV87 | 235 44  0.00 |  0.32 |  0.09 | 235 44  0.00 |
     | 117 |     KV89      KV84 |  45 08  2.82 |  0.73 |  -0.1 |  45 08  2.72 |
     | 118 |     KV84      KV85 |  45 31  8.60 |  2.36 | -1.24 |  45 31  7.37 |
     | 119 |     KV87      KV86 | 171 44 34.66 |  1.76 |  1.51 | 171 44 36.17 |
     | 120 |     KV86      V122 | 229 41 10.31 |  0.32 |  0.19 | 229 41 10.49 |
     | 121 |     KV86      V123 | 240 33  5.95 |  0.33 | -0.11 | 240 33  5.84 |
     | 122 |     V122      V123 | 331 39  3.43 |  1.70 |  1.25 | 331 39  4.68 |
     | 123 |     KV87      KV89 | 292 08 11.79 |  0.68 | -0.54 | 292 08 11.25 |
     | 124 |     KV87      V123 | 231 16 19.91 |  1.38 |  0.69 | 231 16 20.60 |
     | 125 |     KV89      V123 | 204 50  2.74 |  0.53 | -0.31 | 204 50  2.43 |
     | 126 |     KV89      KV91 | 251 52 25.09 |  0.27 |  0.02 | 251 52 25.11 |
     | 127 |     D188      V123 |  26 43  8.74 |  0.57 | -0.22 |  26 43  8.52 |
     | 128 |     KV96      D188 | 128 11  9.42 |  0.90 |  1.65 | 128 11 11.08 |
     | 129 |     KV97      D188 | 114 56 36.56 |  2.02 | -1.90 | 114 56 34.66 |
     | 130 |     KV96      KV97 | 159 37 45.58 |  7.94 | -0.13 | 159 37 45.45 |
     | 131 |     KV93      KV96 | 159 46 47.49 |  0.97 |  0.15 | 159 46 47.64 |
     | 132 |     KV96      KV91 |   5 13 51.87 |  0.57 |  0.19 |   5 13 52.06 |
     | 133 |     KV92      KV91 |  89 18 15.96 |  1.28 |  0.36 |  89 18 16.32 |
     | 134 |     KV92      KV93 | 161 27 10.04 |  1.21 |  0.26 | 161 27 10.30 |
     | 135 |     KV96      V123 |  83 31 46.74 |  0.41 |  0.48 |  83 31 47.22 |
     | 136 |     KV96      KV89 |  51 29 10.39 |  0.22 | -0.14 |  51 29 10.25 |
     | 137 |     KV91      KV93 | 213 16 56.27 |  1.06 |  0.04 | 213 16 56.31 |
     | 138 |     KV89      KV92 | 254 54 29.29 |  0.23 |  0.01 | 254 54 29.30 |
     | 139 |     KV97      KV99 | 251 54  9.95 |  1.39 | -0.93 | 251 54  9.03 |
     | 140 |     KV98      KV99 | 298 13 51.67 |  0.51 | -0.47 | 298 13 51.21 |
     | 141 |     V122      KV98 | 218 54 17.83 |  3.10 |  5.64 | 218 54 23.47 |
     | 142 |     V121      KV98 | 182 21 27.80 |  1.81 |  0.51 | 182 21 28.31 |
     | 143 |     V108      KV99 |  21 08 53.01 | 12.94 | -4.63 |  21 08 48.38 |
     | 144 |     KV99      V109 | 228 52 48.98 |  6.23 | -11.23 | 228 52 37.75 |
     | 145 |     KV93      KV99 | 182 50 16.58 |  4.02 | -0.30 | 182 50 16.29 |
     | 146 |     KV97      V121 | 119 12 21.46 |  0.73 |  0.08 | 119 12 21.54 |
     | 147 |     KV99      V121 | 103 16 15.59 |  0.52 | -0.12 | 103 16 15.47 |
     | 148 |     KV98      V101 | 143 47 58.59 |  1.41 | -1.64 | 143 47 56.95 |
     | 149 |     V107      V101 | 325 13 53.42 |  0.24 |  0.06 | 325 13 53.47 |
     | 150 |     V107      V100 | 324 51 31.90 |  0.32 | -0.02 | 324 51 31.87 |
     | 151 |     V107      V106 | 207 11 52.17 |  0.62 |  0.16 | 207 11 52.33 |
     | 152 |     V100      V101 | 326 21 42.41 |  0.98 |  0.00 | 326 21 42.41 |
     | 153 |     V101      V106 | 161 29 56.09 |  0.20 | -0.12 | 161 29 55.98 |
     | 154 |     V100      V106 | 165 13 35.33 |  0.25 |  0.02 | 165 13 35.35 |
     | 155 |     V106      V102 | 130 55 34.25 |  0.71 |  0.14 | 130 55 34.39 |
     | 156 |     V106      V105 | 139 18 11.71 |  0.24 |  0.06 | 139 18 11.77 |
     | 157 |     V105      V102 | 323 29 46.91 |  0.36 |  0.09 | 323 29 46.99 |
     | 158 |     V105      V107 | 336 31  0.51 |  0.20 | -0.01 | 336 31  0.51 |
     | 159 |     V104      V105 | 154 21  3.91 |  0.74 | -0.09 | 154 21  3.82 |
     | 160 |     V104      V107 | 337 18 26.41 |  0.27 | -0.03 | 337 18 26.38 |
     | 161 |     V102      V104 | 133 50 41.61 |  0.66 | -0.03 | 133 50 41.58 |
     | 162 |     V102      V107 | 351 58 27.91 |  0.42 |  0.05 | 351 58 27.96 |
     | 163 |     KV98      V108 | 271 15 28.47 |  0.45 | -0.09 | 271 15 28.38 |
     | 164 |     KV98      V103 | 162 24 58.67 |  0.16 |  0.06 | 162 24 58.73 |
     | 165 |     V108      V103 | 145 51 16.07 |  0.14 |  0.06 | 145 51 16.14 |
     | 166 |     V101      V103 | 166 58 39.96 |  0.60 | -0.46 | 166 58 39.50 |
     | 167 |     V103      V106 |  62 05 10.87 |  3.43 |  3.61 |  62 05 14.48 |
     | 168 |     V103      V105 | 132 50 51.47 |  1.39 |  0.50 | 132 50 51.96 |
     | 169 |     V105      V106 | 319 18 11.95 |  1.30 | -0.18 | 319 18 11.77 |
     | 170 |     V109      V108 |  97 22 41.87 |  1.58 | -0.17 |  97 22 41.70 |
     | 171 |     V109      V103 | 142 23 12.70 |  0.14 |  0.03 | 142 23 12.73 |
     | 172 |     KV01      KV02 | 245 07 23.26 |  1.51 | -0.11 | 245 07 23.15 |
     | 173 |     KV02      KV04 | 185 02 51.80 |  0.28 | -0.11 | 185 02 51.69 |
     | 174 |     KV02      KV05 | 185 50 37.29 |  0.20 | -0.02 | 185 50 37.26 |
     | 175 |     KV05      KV06 | 113 00 27.23 |  0.79 |  0.34 | 113 00 27.57 |
     | 176 |     KV06      KV04 | 332 10 49.13 |  0.48 | -0.37 | 332 10 48.76 |
     | 177 |     KV04      KV05 | 187 55 40.14 |  0.73 |  0.06 | 187 55 40.20 |
     | 178 |     KV01      KV09 |  30 43 20.50 |  0.37 |  0.03 |  30 43 20.53 |
     | 179 |     KV02      KV03 | 182 57 58.39 |  0.42 |  0.01 | 182 57 58.40 |
     | 180 |     KV03      KV06 | 165 31 43.61 |  0.32 | -0.23 | 165 31 43.38 |
     | 181 |     KV03      KV09 |  22 54 10.50 |  0.62 | -1.11 |  22 54  9.39 |
     | 182 |     KV06      KV09 |   9 19 38.90 |  0.97 | -0.18 |   9 19 38.72 |
     | 183 |     KV01      KV03 | 195 16 29.49 |  0.36 |  0.05 | 195 16 29.53 |
     | 184 |     KV03      KV04 | 189 10  4.14 |  0.83 |  0.09 | 189 10  4.23 |
     | 185 |     KV02      KV09 |  37 20 14.82 |  0.31 |  0.08 |  37 20 14.90 |
     | 186 |     KV08      KV07 | 169 09 59.26 |  0.91 |  0.22 | 169 09 59.48 |
     | 187 |     KV13      KV08 | 324 47 58.75 |  2.88 |  1.18 | 324 48  0.00 |
     | 188 |     KV14      KV08 | 300 23 20.86 |  0.30 | -0.23 | 300 23 20.63 |
     | 189 |     KV06      KV08 | 164 51 42.10 |  1.33 | -0.46 | 164 51 41.64 |
     | 190 |     KV06      KV14 | 128 03 16.38 |  0.25 | -0.22 | 128 03 16.16 |
     | 191 |     KV07      KV13 | 120 35 24.99 |  4.88 |  5.99 | 120 35 30.98 |
     | 192 |     KV06      KV07 | 167 25 15.72 |  0.54 | -0.13 | 167 25 15.59 |
     | 193 |     KV13      KV14 |  92 00 20.15 |  1.12 |  1.11 |  92 00 21.26 |
     | 194 |     KV13      KV17 | 118 13 40.52 |  0.40 | -0.12 | 118 13 40.40 |
     | 195 |     KV13      KV34 | 158 56 38.80 |  0.40 | -0.02 | 158 56 38.78 |
     | 196 |     KV14      KV18 | 149 20 33.79 |  0.68 |  0.02 | 149 20 33.81 |
     | 197 |     KV14      KV31 | 144 55 55.58 |  0.32 |  0.08 | 144 55 55.65 |
     | 198 |     KV17      KV18 | 128 52 36.75 |  2.05 |  2.17 | 128 52 38.92 |
     | 199 |     KV17      KV34 | 182 43 32.91 |  0.25 |  0.09 | 182 43 33.01 |
     | 200 |     KV18      KV31 | 139 44 39.08 |  0.71 | -0.02 | 139 44 39.06 |
     | 201 |     KV18      KV34 | 188 47  9.70 |  0.26 |  0.12 | 188 47  9.82 |
     | 202 |     KV31      KV33 | 205 38 38.41 |  0.76 | -1.20 | 205 38 37.21 |
     | 203 |     KV33      KV18 |   3 28 32.95 |  0.29 |  0.07 |   3 28 33.02 |
     | 204 |     KV34      KV33 |  49 42 58.33 |  2.07 | -0.11 |  49 42 58.22 |
     | 205 |     KV14      KV17 | 157 30 50.54 |  0.82 |  0.31 | 157 30 50.85 |
     | 206 |     KV21      KV22 | 331 46 35.48 | 19.89 | 37.72 | 331 47 13.21 |
     | 207 |     KV22      KV23 | 236 20 30.12 |  0.38 | -0.28 | 236 20 29.84 |
     | 208 |     KV23      KV14 | 286 42 22.78 |  0.20 | -0.08 | 286 42 22.69 |
     | 209 |     KV23      KV24 | 255 08 26.46 |  1.29 | -0.08 | 255 08 26.38 |
     | 210 |     KV24      KV14 | 292 13  2.26 |  0.24 | -0.02 | 292 13  2.24 |
     | 211 |     KV14      KV22 |  89 40 21.69 |  0.15 | -0.03 |  89 40 21.66 |
     | 212 |     KV23      KV32 | 233 46  7.51 | 15.16 | -2.61 | 233 46  4.90 |
     | 213 |     KV24      KV32 | 226 02 16.93 | 18.89 | -3.31 | 226 02 13.62 |
     | 214 |     KV24      KV31 | 246 36 35.04 |  1.34 | -2.07 | 246 36 32.97 |
     | 215 |     D184      KV32 | 279 27  7.50 |  1.33 |  0.77 | 279 27  8.26 |
     | 216 |     D184      KV43 | 203 23 13.21 | 12.42 | -18.76 | 203 22 54.45 |
     | 217 |     D184      KV33 | 245 28 19.24 |  1.32 |  0.62 | 245 28 19.86 |
     | 218 |     KV32      KV33 | 224 01 54.86 |  1.78 | -0.63 | 224 01 54.23 |
     | 219 |     KV33      KV43 |  70 12  6.00 |  0.76 |  0.84 |  70 12  6.84 |
     | 220 |     KV33      KV39 | 146 51 45.28 |  1.75 |  0.18 | 146 51 45.46 |
     | 221 |     KV33      KV37 | 160 39 38.59 | 35.07 | -15.33 | 160 39 23.26 |
     | 222 |     KV39      KV43 |  60 07 35.01 |  0.75 |  0.76 |  60 07 35.77 |
     | 223 |     KV39      KV37 | 171 46 15.21 | 61.50 | -19.32 | 171 45 55.89 |
     | 224 |     KV39      KV40 | 125 12 54.85 | 36.96 | 17.74 | 125 13 12.58 |
     | 225 |     KV40      KV43 |  54 43  7.63 |  3.51 |  6.56 |  54 43 14.19 |
     | 226 |     KV21      KV28 | 121 54 42.27 |  7.03 | 12.00 | 121 54 54.28 |
     | 227 |     KV21      KV29 | 213 21 20.97 |  0.47 | -0.02 | 213 21 20.95 |
     | 228 |     KV22      KV09 | 320 17 48.76 |  0.70 |  0.83 | 320 17 49.59 |
     | 229 |     KV09      KV14 | 170 14 21.33 |  0.13 |  0.19 | 170 14 21.52 |
     | 230 |     D188      V121 | 266 22 14.05 |  4.71 | -2.01 | 266 22 12.04 |
     | 231 |     KV79      KV83 |  37 11 13.24 |  9.62 |  4.47 |  37 11 17.72 |
     | 232 |     KV83      KV90 | 102 51 19.36 |  3.54 |  5.94 | 102 51 25.30 |
     | 233 |     KV90      KV92 | 217 26 58.19 |  9.46 | -4.20 | 217 26 54.00 |
     | 234 |     KV92      KV99 | 176 15 14.49 |  0.93 | -0.52 | 176 15 13.97 |
     | 235 |     KV79      KV99 | 127 23 30.44 |  1.72 |  0.48 | 127 23 30.92 |
     | 236 |     KV92      KV79 | 267 32 37.34 |  2.13 |  1.94 | 267 32 39.28 |
     | 237 |     KV25      KV52 | 180 14  7.83 |  5.04 | -4.94 | 180 14  2.89 |
     | 238 |     KV46      KV66 | 191 11 47.69 |  7.88 |  4.00 | 191 11 51.69 |
     | 239 |     KV52      KV46 | 249 35 37.86 |  1.26 | -0.63 | 249 35 37.23 |
     | 240 |     KV57      KV58 | 181 22 12.46 |  8.11 | -14.46 | 181 21 58.00 |
     | 241 |     KV53      KV85 | 171 15 32.65 | 44.32 | -89.82 | 171 14  2.83 |
     | 242 |     KV52      KV66 | 232 16 24.97 |  2.33 |  4.75 | 232 16 29.72 |
     | 243 |     KV83      KV92 | 114 26 47.97 |  6.03 | 11.46 | 114 26 59.43 |
     | 244 |     KV81      KV82 | 287 59  7.74 |  0.63 |  0.30 | 287 59  8.04 |
     ==========================================================================
     - Sai so do phuong vi lon nhat:    (   KV39 -    KV37)  ma(max)= 61.50"
     - Sai so do phuong vi nho nhat:    (   KV09 -    KV14)  ma(min)=  0.13"
     - So hieu chinh phuong vi lon nhat:(   KV53 -    KV85)  da(max)= 89.82"
     - So hieu chinh phuong vi nho nhat:(   KV29 -    KV30)  da(min)=  0.00"




                                                                      Bang 3.2

                 BANG TRI DO, SO HIEU CHINH VA TRI BINH SAI CANH

           HE TOA DO TRAC DIA                        ELLIPPSOID:WGS-84
     ==========================================================================
     | STT  |    Ki hieu canh     |   Tri do   | S.s do | So h/c |  Tri b.sai |
     |      |                     |     (m)    |   (m)  |   (m)  |     (m)    |
     ==========================================================================
     |    1 |      D184      KV22 |   1069.440 |  0.001 | -0.001 |   1069.439 |
     |    2 |      D184      KV30 |    267.484 |  0.001 | -0.000 |    267.483 |
     |    3 |      D184      KV26 |   1992.894 |  0.001 | -0.001 |   1992.893 |
     |    4 |      KV30      KV22 |    822.848 |  0.001 | -0.000 |    822.848 |
     |    5 |      KV30      KV26 |   1746.064 |  0.001 |  0.000 |   1746.064 |
     |    6 |      KV22      KV29 |    617.212 |  0.001 | -0.000 |    617.212 |
     |    7 |      KV29      KV30 |    264.420 |  0.001 | -0.000 |    264.420 |
     |    8 |      KV29      KV26 |   1496.377 |  0.001 | -0.000 |   1496.377 |
     |    9 |      KV28      KV29 |    581.062 |  0.001 |  0.001 |    581.063 |
     |   10 |      KV26      KV27 |    741.390 |  0.001 | -0.000 |    741.390 |
     |   11 |      KV26      KV28 |   1027.825 |  0.001 |  0.001 |   1027.825 |
     |   12 |      KV27      KV28 |    425.794 |  0.001 | -0.000 |    425.794 |
     |   13 |      KV27      KV22 |    672.085 |  0.001 |  0.000 |    672.085 |
     |   14 |      KV25      KV26 |    277.673 |  0.001 |  0.000 |    277.673 |
     |   15 |      KV25      KV27 |    775.301 |  0.001 | -0.000 |    775.301 |
     |   16 |      KV26      KV43 |   2050.414 |  0.012 |  0.005 |   2050.419 |
     |   17 |      KV43      KV44 |    327.717 |  0.001 | -0.001 |    327.716 |
     |   18 |      KV44      KV45 |    999.374 |  0.001 |  0.001 |    999.375 |
     |   19 |      KV45      KV46 |    100.787 |  0.001 |  0.000 |    100.788 |
     |   20 |      KV46      KV26 |    974.930 |  0.015 | -0.007 |    974.923 |
     |   21 |      KV46      KV67 |    698.861 |  0.001 |  0.000 |    698.861 |
     |   22 |      KV67      KV45 |    626.724 |  0.001 |  0.000 |    626.725 |
     |   23 |      KV68      KV45 |    777.838 |  0.001 | -0.001 |    777.838 |
     |   24 |      KV68      KV67 |    184.480 |  0.001 | -0.000 |    184.480 |
     |   25 |      KV41      KV68 |    771.412 |  0.002 |  0.002 |    771.414 |
     |   26 |      KV44      KV41 |    348.969 |  0.002 |  0.002 |    348.971 |
     |   27 |      KV26      KV45 |   1047.450 |  0.018 | -0.005 |   1047.445 |
     |   28 |      KV45      KV43 |   1162.183 |  0.001 |  0.001 |   1162.184 |
     |   29 |      KV44      KV68 |    446.061 |  0.002 | -0.001 |    446.060 |
     |   30 |      KV41      KV43 |    275.712 |  0.004 | -0.000 |    275.711 |
     |   31 |      KV68      KV69 |    304.052 |  0.006 |  0.006 |    304.058 |
     |   32 |      KV68      KV76 |    370.715 |  0.002 | -0.003 |    370.712 |
     |   33 |      KV68      KV81 |    793.915 |  0.001 |  0.000 |    793.916 |
     |   34 |      KV76      KV77 |    189.500 |  0.003 | -0.002 |    189.499 |
     |   35 |      KV76      KV82 |    377.758 |  0.001 | -0.001 |    377.758 |
     |   36 |      KV76      KV83 |    457.404 |  0.001 |  0.001 |    457.404 |
     |   37 |      KV77      KV82 |    206.199 |  0.005 |  0.007 |    206.205 |
     |   38 |      KV81      KV83 |    446.172 |  0.001 |  0.000 |    446.172 |
     |   39 |      KV82      KV83 |    115.119 |  0.001 | -0.000 |    115.119 |
     |   40 |      KV68      KV77 |    466.748 |  0.001 | -0.000 |    466.748 |
     |   41 |      KV77      KV81 |    480.980 |  0.001 | -0.000 |    480.980 |
     |   42 |      KV40      KV41 |    519.560 |  0.004 | -0.002 |    519.558 |
     |   43 |      KV41      KV69 |    610.884 |  0.001 | -0.001 |    610.883 |
     |   44 |      KV69      KV76 |    187.820 |  0.001 | -0.000 |    187.820 |
     |   45 |      KV76      KV79 |    763.762 |  0.001 | -0.001 |    763.760 |
     |   46 |      KV79      KV42 |   1273.625 |  0.001 |  0.000 |   1273.625 |
     |   47 |      KV78      KV79 |    239.570 |  0.001 | -0.001 |    239.569 |
     |   48 |      KV40      KV42 |    518.553 |  0.006 |  -0.01 |    518.543 |
     |   49 |      KV41      KV42 |    141.786 |  0.001 | -0.000 |    141.786 |
     |   50 |      KV42      KV78 |   1397.897 |  0.001 | -0.000 |   1397.897 |
     |   51 |      KV42      KV70 |    418.914 |  0.001 |  0.000 |    418.914 |
     |   52 |      KV69      KV70 |    142.555 |  0.001 |  0.001 |    142.556 |
     |   53 |      KV70      KV76 |    239.879 |  0.001 | -0.001 |    239.878 |
     |   54 |      KV70      KV79 |    890.489 |  0.001 |  0.000 |    890.490 |
     |   55 |      KV42      KV69 |    478.360 |  0.002 | -0.002 |    478.357 |
     |   56 |      KV37      KV38 |    162.528 |  0.001 | -0.001 |    162.527 |
     |   57 |      KV38      KV40 |    249.254 |  0.001 |  0.000 |    249.254 |
     |   58 |      KV38      KV73 |    236.831 |  0.001 |  0.001 |    236.831 |
     |   59 |      KV40      KV72 |    464.860 |  0.001 |  0.000 |    464.861 |
     |   60 |      KV72      KV38 |    227.435 |  0.002 | -0.001 |    227.433 |
     |   61 |      KV72      KV78 |    918.819 |  0.002 | -0.002 |    918.817 |
     |   62 |      KV73      KV72 |    142.970 |  0.001 |  0.000 |    142.970 |
     |   63 |      KV73      KV37 |    374.532 |  0.001 |  0.000 |    374.532 |
     |   64 |      KV75      KV37 |    554.475 |  0.001 |  0.000 |    554.476 |
     |   65 |      KV75      KV73 |    339.729 |  0.001 |  0.001 |    339.730 |
     |   66 |      KV78      KV75 |    860.649 |  0.001 |  0.001 |    860.649 |
     |   67 |      KV73      KV78 |    886.593 |  0.001 |  0.001 |    886.593 |
     |   68 |      KV67      KV81 |    770.048 |  0.011 |  0.005 |    770.053 |
     |   69 |      KV66      KV67 |    494.950 |  0.011 | -0.008 |    494.942 |
     |   70 |      KV66      KV81 |    877.750 |  0.001 |  0.000 |    877.750 |
     |   71 |      KV65      KV66 |    140.074 |  0.001 | -0.000 |    140.073 |
     |   72 |      KV65      KV81 |    925.455 |  0.001 | -0.000 |    925.455 |
     |   73 |      KV64      KV65 |    196.598 |  0.001 |  0.000 |    196.599 |
     |   74 |      KV64      KV81 |    902.511 |  0.001 | -0.001 |    902.510 |
     |   75 |      KV88      KV64 |    521.551 |  0.001 |  0.001 |    521.552 |
     |   76 |      KV88      KV81 |    991.100 |  0.001 | -0.000 |    991.099 |
     |   77 |      KV90      KV88 |    835.740 |  0.001 |  0.001 |    835.741 |
     |   78 |      KV89      KV88 |    150.432 |  0.007 | -0.005 |    150.427 |
     |   79 |      KV89      KV90 |    977.778 |  0.007 | -0.005 |    977.773 |
     |   80 |      KV81      KV90 |    206.002 |  0.001 |  0.000 |    206.003 |
     |   81 |      KV64      KV89 |    624.663 |  0.010 | -0.004 |    624.659 |
     |   82 |      D187      KV49 |    273.387 |  0.001 |  0.001 |    273.388 |
     |   83 |      D187      KV62 |    160.495 |  0.001 | -0.001 |    160.495 |
     |   84 |      KV52      KV61 |    940.468 |  0.002 | -0.001 |    940.467 |
     |   85 |      KV52      KV51 |    183.094 |  0.001 | -0.001 |    183.094 |
     |   86 |      KV51      KV49 |    513.569 |  0.001 |  0.001 |    513.569 |
     |   87 |      KV62      KV49 |    263.593 |  0.001 |  0.000 |    263.594 |
     |   88 |      KV62      KV65 |    287.579 |  0.001 |  0.000 |    287.579 |
     |   89 |      KV65      KV49 |    472.268 |  0.001 |  0.000 |    472.269 |
     |   90 |      KV64      KV61 |    349.421 |  0.011 | -0.015 |    349.406 |
     |   91 |      D187      KV61 |     83.746 |  0.002 |  0.002 |     83.747 |
     |   92 |      KV49      KV52 |    694.574 |  0.001 |  0.001 |    694.575 |
     |   93 |      KV61      KV62 |    191.196 |  0.001 | -0.000 |    191.195 |
     |   94 |      KV65      KV52 |   1163.925 |  0.001 | -0.000 |   1163.925 |
     |   95 |      D187      KV51 |    686.815 |  0.001 | -0.001 |    686.814 |
     |   96 |      D187      KV52 |    867.518 |  0.001 | -0.001 |    867.517 |
     |   97 |      KV62      KV64 |    264.150 |  0.011 | -0.020 |    264.131 |
     |   98 |      KV52      KV54 |    610.823 |  0.001 |  0.000 |    610.823 |
     |   99 |      KV52      KV55 |   1029.358 |  0.001 |  0.000 |   1029.358 |
     |  100 |      KV52      KV56 |    894.037 |  0.001 | -0.000 |    894.037 |
     |  101 |      KV61      KV53 |    382.959 |  0.003 | -0.001 |    382.958 |
     |  102 |      KV61      KV89 |    581.168 |  0.001 | -0.001 |    581.168 |
     |  103 |      KV57      KV55 |    108.933 |  0.001 |  0.000 |    108.933 |
     |  104 |      KV57      KV56 |    244.957 |  0.001 | -0.000 |    244.957 |
     |  105 |      KV55      KV56 |    162.948 |  0.001 | -0.000 |    162.948 |
     |  106 |      KV56      KV54 |    441.908 |  0.001 |  0.000 |    441.908 |
     |  107 |      KV54      KV57 |    675.132 |  0.001 |  0.000 |    675.132 |
     |  108 |      KV53      KV54 |    139.936 |  0.001 |  0.000 |    139.936 |
     |  109 |      KV53      KV57 |    784.377 |  0.002 |  0.000 |    784.377 |
     |  110 |      KV52      KV53 |    647.775 |  0.005 |  0.006 |    647.781 |
     |  111 |      KV53      KV89 |    821.452 |  0.001 |  0.001 |    821.454 |
     |  112 |      KV58      KV89 |   1015.403 |  0.001 | -0.000 |   1015.403 |
     |  113 |      KV58      KV84 |    736.897 |  0.001 | -0.000 |    736.897 |
     |  114 |      KV58      KV85 |    655.714 |  0.002 | -0.000 |    655.714 |
     |  115 |      KV58      KV86 |    841.527 |  0.001 | -0.001 |    841.526 |
     |  116 |      KV58      KV87 |    770.836 |  0.001 |  0.001 |    770.836 |
     |  117 |      KV89      KV84 |    333.530 |  0.001 | -0.000 |    333.530 |
     |  118 |      KV84      KV85 |    110.213 |  0.001 |  0.000 |    110.214 |
     |  119 |      KV87      KV86 |    139.715 |  0.001 | -0.000 |    139.715 |
     |  120 |      KV86      V122 |    763.242 |  0.001 | -0.001 |    763.242 |
     |  121 |      KV86      V123 |    746.796 |  0.001 |  0.001 |    746.797 |
     |  122 |      V122      V123 |    143.899 |  0.001 |  0.001 |    143.899 |
     |  123 |      KV87      KV89 |    360.093 |  0.001 | -0.000 |    360.093 |
     |  124 |      KV87      V123 |    807.885 |  0.007 | -0.011 |    807.874 |
     |  125 |      KV89      V123 |    706.434 |  0.002 |  0.000 |    706.434 |
     |  126 |      KV89      KV91 |    895.225 |  0.001 |  0.000 |    895.225 |
     |  127 |      D188      V123 |    428.341 |  0.001 |  0.001 |    428.342 |
     |  128 |      KV96      D188 |    510.010 |  0.003 |  0.002 |    510.012 |
     |  129 |      KV97      D188 |    378.332 |  0.004 | -0.008 |    378.324 |
