_____________________________________________________________________________________________________________________________
|Thöa |  DiÖn tÝch |   T©m X    |     T©m Y  |  Lo¹i ®Êt  |        Tªn chñ sö dông         |           §Þa chØ              |
| 177 |  400007.06 |   50081.69 |      187.0 |          T |                                |                                |
| 178 |  400046.62 |   50096.19 |      535.0 |          T |                                |                                |
| 179 |  400050.52 |   50085.16 |      395.0 |          T |                                |                                |
| 180 |  400091.05 |   50090.31 |      398.0 |          T |                                |                                |
| 181 |  400097.30 |   50081.01 |      319.0 |          T |                                |                                |
| 182 |  400154.69 |   50088.53 |      278.0 |          T |                                |                                |
| 183 |  400317.44 |   50095.06 |    10675.0 |          T |                                |                                |
| 184 |  399942.50 |   50074.85 |      498.0 |          T |                                |                                |
| 185 |  399949.47 |   50063.55 |      240.0 |          T |                                |                                |
| 186 |  400009.86 |   50076.01 |      191.0 |          T |                                |                                |
| 187 |  400011.71 |   50070.08 |      190.0 |          T |                                |                                |
| 188 |  400015.40 |   50064.51 |      198.0 |          T |                                |                                |
| 189 |  400052.63 |   50072.27 |      635.0 |          T |                                |                                |
| 190 |  400097.85 |   50072.53 |      255.0 |          T |                                |                                |
| 191 |  400100.52 |   50065.30 |      282.0 |          T |                                |                                |
| 192 |  400150.99 |   50062.15 |      520.0 |          T |                                |                                |
| 193 |  400201.20 |   50073.15 |      896.0 |          T |                                |                                |
| 194 |  400240.71 |   50066.82 |      703.0 |          T |                                |                                |
| 195 |  399732.34 |   50046.93 |     2361.0 |          T |                                |                                |
| 196 |  399953.30 |   50050.21 |      496.0 |          T |                                |                                |
| 197 |  400016.42 |   50058.10 |      207.0 |          T |                                |                                |
| 198 |  400019.51 |   50052.33 |      188.0 |          T |                                |                                |
| 199 |  400022.56 |   50043.46 |      381.0 |          T |                                |                                |
| 200 |  400063.83 |   50046.31 |      650.0 |          T |                                |                                |
| 201 |  400103.20 |   50057.91 |      265.0 |          T |                                |                                |
| 202 |  400202.57 |   50044.91 |      400.0 |          T |                                |                                |
